layerName;execStatus;layerType;execType;realTime (ms);cpuTime (ms)
conv1/relu_7x7;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
conv2/relu_3x3;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
conv2/relu_3x3_reduce;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
data;NOT_RUN;Input;NONE;0.0;0.0
inception_3a/output;NOT_RUN;Concat;StubConcat;0.0;0.0
inception_3a/relu_1x1;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3a/relu_3x3;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3a/relu_3x3_reduce;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3a/relu_5x5;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3a/relu_5x5_reduce;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3a/relu_pool_proj;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3b/relu_1x1;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3b/relu_3x3;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3b/relu_3x3_reduce;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3b/relu_5x5;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3b/relu_5x5_reduce;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_3b/relu_pool_proj;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_4a/output;NOT_RUN;Concat;StubConcat;0.0;0.0
inception_4a/relu_1x1;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_4a/relu_3x3;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_4a/relu_3x3_reduce;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_4a/relu_5x5;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
inception_4a/relu_5x5_reduce;OPTIMIZED_OUT;ReLU;<none>;0.0;0.0
