name,step,value
DetectionBoxes_Precision/mAP,0,0.0019887697
DetectionBoxes_Precision/mAP@.50IOU,0,0.009754393
DetectionBoxes_Precision/mAP@.75IOU,0,0.0
DetectionBoxes_Precision/mAP (small),0,-1.0
DetectionBoxes_Precision/mAP (medium),0,0.0
DetectionBoxes_Precision/mAP (large),0,0.0023685517
DetectionBoxes_Recall/AR@1,0,0.0
DetectionBoxes_Recall/AR@10,0,0.042857144
DetectionBoxes_Recall/AR@100,0,0.16904762
DetectionBoxes_Recall/AR@100 (small),0,-1.0
DetectionBoxes_Recall/AR@100 (medium),0,0.0
DetectionBoxes_Recall/AR@100 (large),0,0.18560606
Loss/localization_loss,0,0.6872572
Loss/classification_loss,0,3.3690867
Loss/regularization_loss,0,0.08517366
Loss/total_loss,0,4.141518
