name,step,value
DetectionBoxes_Precision/mAP,0,0.0012210374
DetectionBoxes_Precision/mAP@.50IOU,0,0.005248496
DetectionBoxes_Precision/mAP@.75IOU,0,0.0
DetectionBoxes_Precision/mAP (small),0,-1.0
DetectionBoxes_Precision/mAP (medium),0,-1.0
DetectionBoxes_Precision/mAP (large),0,0.0013082076
DetectionBoxes_Recall/AR@1,0,0.011538462
DetectionBoxes_Recall/AR@10,0,0.036538463
DetectionBoxes_Recall/AR@100,0,0.10721154
DetectionBoxes_Recall/AR@100 (small),0,-1.0
DetectionBoxes_Recall/AR@100 (medium),0,-1.0
DetectionBoxes_Recall/AR@100 (large),0,0.10721154
Loss/localization_loss,0,0.5815677
Loss/classification_loss,0,3.4142303
Loss/regularization_loss,0,0.085175976
Loss/total_loss,0,4.080974
